input_symbol,reason_guess,fuzzy_close_matches,same_prefix_aliases
C9ORF170,Not in id_map (possible alias / deprecated / non-protein-coding),C9ORF17;C9ORF10;C9ORF174;C9ORF173;C9ORF172,C9ORF10;C9ORF100;C9ORF101;C9ORF102;C9ORF103;C9ORF105;C9ORF108;C9ORF10OS;C9ORF11;C9ORF111
CLRN1OS,Not in id_map (possible alias / deprecated / non-protein-coding),CLRN1,CLRN1;CLRN2;CLRN3
C9ORF106,Not in id_map (possible alias / deprecated / non-protein-coding),C9ORF16;C9ORF10;C9ORF169;C9ORF167;C9ORF166,C9ORF10;C9ORF100;C9ORF101;C9ORF102;C9ORF103;C9ORF105;C9ORF108;C9ORF10OS;C9ORF11;C9ORF111
LOC100133545,Non-canonical / lncRNA / LOC symbol,,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
DVWA,Not in id_map (possible alias / deprecated / non-protein-coding),,
NCRNA00202,Not in id_map (possible alias / deprecated / non-protein-coding),NCRNA00282;NCRNA00220;NCRNA00201;NCRNA00082;NCRNA00291,NCRNA00036;NCRNA00069;NCRNA00080;NCRNA00081;NCRNA00082;NCRNA00083;NCRNA00085;NCRNA00086;NCRNA00087;NCRNA00094
GAGE4,Not in id_map (possible alias / deprecated / non-protein-coding),GAGED4;TAGE4;RGAG4;PAGE4;MAGE4,GAGE-9;GAGE1;GAGE10;GAGE11;GAGE12A;GAGE12B;GAGE12C;GAGE12D;GAGE12E;GAGE12F
C14ORF184,Not in id_map (possible alias / deprecated / non-protein-coding),C1ORF184;C14ORF18;C14ORF180;C14ORF174;C14ORF168,C14ORF1;C14ORF10;C14ORF100;C14ORF101;C14ORF102;C14ORF103;C14ORF104;C14ORF105;C14ORF106;C14ORF108
C10ORF91,Not in id_map (possible alias / deprecated / non-protein-coding),C1ORF91;C10ORF9;C21ORF91;C16ORF91;C11ORF91,C10ORF10;C10ORF104;C10ORF105;C10ORF107;C10ORF11;C10ORF112;C10ORF113;C10ORF115;C10ORF116;C10ORF117
LOC100130386,Non-canonical / lncRNA / LOC symbol,LOC100130733,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
LOC283867,Non-canonical / lncRNA / LOC symbol,LOC283677,LOC201725;LOC220382;LOC255275;LOC257407;LOC283174;LOC283677;LOC284371;LOC285498;LOC285556;LOC285636
KIAA0087,Not in id_map (possible alias / deprecated / non-protein-coding),KIAA1087;KIAA1008;KIAA1007;KIAA0987;KIAA0908,KIAA-ISO;KIAA0001;KIAA0003;KIAA0004;KIAA0005;KIAA0006;KIAA0007;KIAA0008;KIAA0009;KIAA0010
C14ORF72,Not in id_map (possible alias / deprecated / non-protein-coding),C14ORF172;C1ORF72;C14ORF2;C1ORF172;C19ORF72,C14ORF1;C14ORF10;C14ORF100;C14ORF101;C14ORF102;C14ORF103;C14ORF104;C14ORF105;C14ORF106;C14ORF108
FLJ42393,Not in id_map (possible alias / deprecated / non-protein-coding),FLJ94393;FLJ43983;FLJ42993;FLJ42930;FLJ34293,FLJ40069;FLJ40081;FLJ40083;FLJ40084;FLJ40089;FLJ40097;FLJ40121;FLJ40125;FLJ40137;FLJ40142
DHX40P1,Not in id_map (possible alias / deprecated / non-protein-coding),DHX40,DHX40
LOC613037,Non-canonical / lncRNA / LOC symbol,,LOC606495;LOC619208;LOC643338;LOC644994;LOC645811;LOC646174;LOC646892;LOC653319
LOC441177,Non-canonical / lncRNA / LOC symbol,,LOC400451;LOC402665;LOC440087;LOC440145;LOC440348;LOC440350;LOC441376;LOC492311
LOC100131551,Non-canonical / lncRNA / LOC symbol,,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
GAGE2D,Not in id_map (possible alias / deprecated / non-protein-coding),GAGE12D;GAGE2;GAGED5;GAGED4;GAGED3,GAGE-9;GAGE1;GAGE10;GAGE11;GAGE12A;GAGE12B;GAGE12C;GAGE12D;GAGE12E;GAGE12F
LOC100128239,Non-canonical / lncRNA / LOC symbol,LOC100128569,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
FLJ33360,Not in id_map (possible alias / deprecated / non-protein-coding),FLJ33930;FLJ33620;FLJ33600;FLJ33365;FLJ33340,FLJ30002;FLJ30006;FLJ30012;FLJ30046;FLJ30047;FLJ30058;FLJ30067;FLJ30108;FLJ30135;FLJ30140
C21ORF121,Not in id_map (possible alias / deprecated / non-protein-coding),C21ORF11;C1ORF121;C21ORF124;C21ORF112;C21ORF102,C21ORF1;C21ORF10;C21ORF101;C21ORF102;C21ORF103;C21ORF105;C21ORF106;C21ORF107;C21ORF108;C21ORF11
PRKY,Not in id_map (possible alias / deprecated / non-protein-coding),PRY;PRK;PKY,
C22ORF34,Not in id_map (possible alias / deprecated / non-protein-coding),C2ORF34;C22ORF4;C22ORF3;C22ORF43;C22ORF42,C22ORF1;C22ORF11;C22ORF12;C22ORF13;C22ORF14;C22ORF15;C22ORF16;C22ORF17;C22ORF18;C22ORF19
FAM66D,Not in id_map (possible alias / deprecated / non-protein-coding),FAM46D;FAM26D,FAM60A;FAM61A;FAM61B;FAM62A;FAM62B;FAM62C;FAM63A;FAM63B;FAM64A;FAM65A
CLLU1,Not in id_map (possible alias / deprecated / non-protein-coding),CLU1;LULU1;CLUL1;CLL-1;CL-L1,
POM121L10P,Not in id_map (possible alias / deprecated / non-protein-coding),POM121L12,POM121;POM121-L;POM121A;POM121C;POM121L12;POM121L2
RNF126P1,Not in id_map (possible alias / deprecated / non-protein-coding),RNF161;RNF126;RNF121,RNF1;RNF10;RNF100;RNF101;RNF102;RNF103;RNF103-CHMP3;RNF103-VPS24;RNF104;RNF105
CCDC144C,Not in id_map (possible alias / deprecated / non-protein-coding),CCDC144A;CDC14C;CCDC44;CCDC14;CDC14CP,CCDC10;CCDC100;CCDC101;CCDC102A;CCDC102B;CCDC103;CCDC104;CCDC105;CCDC106;CCDC107
C21ORF81,Not in id_map (possible alias / deprecated / non-protein-coding),C2ORF81;C21ORF1;C21ORF98;C21ORF91;C21ORF83,C21ORF1;C21ORF10;C21ORF101;C21ORF102;C21ORF103;C21ORF105;C21ORF106;C21ORF107;C21ORF108;C21ORF11
ALG1L,Not in id_map (possible alias / deprecated / non-protein-coding),ALG1L2;ALG1;CAL1L;ALG14;ALG13,ALG1;ALG10;ALG10A;ALG10B;ALG11;ALG12;ALG13;ALG14;ALG1L2
LOC158696,Non-canonical / lncRNA / LOC symbol,,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
SFTA1P,Not in id_map (possible alias / deprecated / non-protein-coding),SFTPA1;STAP,SFTA2;SFTA3
LOC286467,Non-canonical / lncRNA / LOC symbol,,LOC201725;LOC220382;LOC255275;LOC257407;LOC283174;LOC283677;LOC284371;LOC285498;LOC285556;LOC285636
LOC100216001,Non-canonical / lncRNA / LOC symbol,,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
LOC339674,Non-canonical / lncRNA / LOC symbol,,LOC338328;LOC339804;LOC341346;LOC342897;LOC345222;LOC345630;LOC374920;LOC374973;LOC387715;LOC387804
LOC340017,Non-canonical / lncRNA / LOC symbol,,LOC338328;LOC339804;LOC341346;LOC342897;LOC345222;LOC345630;LOC374920;LOC374973;LOC387715;LOC387804
C1ORF61,Not in id_map (possible alias / deprecated / non-protein-coding),C21ORF61;C1ORF161;C19ORF61;C17ORF61;C16ORF61,C1ORF10;C1ORF100;C1ORF101;C1ORF102;C1ORF103;C1ORF105;C1ORF106;C1ORF107;C1ORF108;C1ORF109
SOX2OT,Not in id_map (possible alias / deprecated / non-protein-coding),SOX2,SOX2;SOX20;SOX21;SOX22;SOX25;SOX26;SOX27;SOX28
ANKRD20A4,Not in id_map (possible alias / deprecated / non-protein-coding),ANKRD20A;ANKRD20A1;ANKRD24;ANKRD30A;ANKRD4,ANKRA1;ANKRA2;ANKRD1;ANKRD10;ANKRD11;ANKRD12;ANKRD13;ANKRD13A;ANKRD13B;ANKRD13C
LOC283856,Non-canonical / lncRNA / LOC symbol,,LOC201725;LOC220382;LOC255275;LOC257407;LOC283174;LOC283677;LOC284371;LOC285498;LOC285556;LOC285636
LOC389458,Non-canonical / lncRNA / LOC symbol,,LOC338328;LOC339804;LOC341346;LOC342897;LOC345222;LOC345630;LOC374920;LOC374973;LOC387715;LOC387804
HAR1A,Not in id_map (possible alias / deprecated / non-protein-coding),SAR1A;HTR1A;HCAR1;HARS1;HAKRA,
LOC100130238,Non-canonical / lncRNA / LOC symbol,LOC100130733,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
OR7E91P,Not in id_map (possible alias / deprecated / non-protein-coding),,OR7E24;OR7E24P;OR7E24Q
STL,Not in id_map (possible alias / deprecated / non-protein-coding),STSL;STNL;STLR;STLK;STL2,STL1;STL2;STLK;STLR
C21ORF130,Not in id_map (possible alias / deprecated / non-protein-coding),C21ORF30;C21ORF13;C21ORF10;C1ORF130;C21ORF140,C21ORF1;C21ORF10;C21ORF101;C21ORF102;C21ORF103;C21ORF105;C21ORF106;C21ORF107;C21ORF108;C21ORF11
FLJ37543,Not in id_map (possible alias / deprecated / non-protein-coding),FLJ38753;FLJ37953;FLJ37538;FLJ37523;FLJ37433,FLJ30002;FLJ30006;FLJ30012;FLJ30046;FLJ30047;FLJ30058;FLJ30067;FLJ30108;FLJ30135;FLJ30140
HGC6.3,Not in id_map (possible alias / deprecated / non-protein-coding),,
LOC84740,Non-canonical / lncRNA / LOC symbol,,LOC84645
DIRC1,Not in id_map (possible alias / deprecated / non-protein-coding),IRC1;DRC1;DIR1;DIC1;KIRC1,DIRC2
AQP7P3,Not in id_map (possible alias / deprecated / non-protein-coding),AQP7;AQP3;APP3,AQP7;AQP7B;AQP7L
LOC284100,Non-canonical / lncRNA / LOC symbol,,LOC201725;LOC220382;LOC255275;LOC257407;LOC283174;LOC283677;LOC284371;LOC285498;LOC285556;LOC285636
TPTE2P3,Not in id_map (possible alias / deprecated / non-protein-coding),TPTE2,TPTE;TPTE1;TPTE2;TPTEP2-CSNK1E
FAM157B,Not in id_map (possible alias / deprecated / non-protein-coding),FAM57B;FAM15B;FAM217B;FAM195B;FAM187B,FAM100A;FAM100B;FAM101A;FAM101B;FAM102A;FAM102B;FAM103A1;FAM103A2P;FAM104A;FAM104B
TDRG1,Not in id_map (possible alias / deprecated / non-protein-coding),DRG1;TPRG1;TDRP1;TDRD1;TDGF1,
C9ORF44,Not in id_map (possible alias / deprecated / non-protein-coding),C19ORF44;C9ORF4;C9ORF94;C9ORF84;C9ORF74,C9ORF10;C9ORF100;C9ORF101;C9ORF102;C9ORF103;C9ORF105;C9ORF108;C9ORF10OS;C9ORF11;C9ORF111
FLJ34503,Not in id_map (possible alias / deprecated / non-protein-coding),FLJ45032;FLJ35803;FLJ35453;FLJ35093;FLJ35036,FLJ30002;FLJ30006;FLJ30012;FLJ30046;FLJ30047;FLJ30058;FLJ30067;FLJ30108;FLJ30135;FLJ30140
C21ORF125,Not in id_map (possible alias / deprecated / non-protein-coding),C21ORF25;C1ORF125;C21ORF258;C21ORF124;C21ORF112,C21ORF1;C21ORF10;C21ORF101;C21ORF102;C21ORF103;C21ORF105;C21ORF106;C21ORF107;C21ORF108;C21ORF11
DGCR9,Not in id_map (possible alias / deprecated / non-protein-coding),DGCR8;DGCR6;DGCR2;DGCR1,DGCR1;DGCR13;DGCR14;DGCR2;DGCR6;DGCR6L;DGCR8;DGCRK6
HCG2P7,Not in id_map (possible alias / deprecated / non-protein-coding),HG27,HCG22
WBSCR26,Not in id_map (possible alias / deprecated / non-protein-coding),WBSCR6;WBSCR28;WBSCR27;WBSCR24;WBSCR22,WBSCR1;WBSCR10;WBSCR11;WBSCR12;WBSCR13;WBSCR14;WBSCR15;WBSCR16;WBSCR17;WBSCR18
MESTIT1,Not in id_map (possible alias / deprecated / non-protein-coding),,MEST
TUBB4Q,Not in id_map (possible alias / deprecated / non-protein-coding),TUBB4;TUBB4B;TUBB4A;TUBB,TUBB;TUBB1;TUBB2;TUBB2A;TUBB2B;TUBB2C;TUBB3;TUBB4;TUBB4A;TUBB4B
C17ORF55,Not in id_map (possible alias / deprecated / non-protein-coding),C7ORF55;C1ORF55;C21ORF55;C1ORF155;C19ORF55,C17ORF1;C17ORF100;C17ORF101;C17ORF103;C17ORF104;C17ORF105;C17ORF106;C17ORF107;C17ORF108;C17ORF109
CXORF50B,Not in id_map (possible alias / deprecated / non-protein-coding),CXORF51B;CXORF40B;CXORF5;CXORF65;CXORF59,CXORF1;CXORF10;CXORF11;CXORF12;CXORF13;CXORF15;CXORF17;CXORF2;CXORF20;CXORF21
ANKRD20B,Not in id_map (possible alias / deprecated / non-protein-coding),ANKRD30B;ANKRD20A;ANKRD2;ANKRD30BL;ANKRD20A1,ANKRA1;ANKRA2;ANKRD1;ANKRD10;ANKRD11;ANKRD12;ANKRD13;ANKRD13A;ANKRD13B;ANKRD13C
COL6A4P2,Not in id_map (possible alias / deprecated / non-protein-coding),COL6A2,COL6A1;COL6A2;COL6A3;COL6A5;COL6A6
LOC100128675,Non-canonical / lncRNA / LOC symbol,LOC100128569,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
HSPC072,Not in id_map (possible alias / deprecated / non-protein-coding),HSPC302;HSPC207;HSPC097;HSPC071;HSPC070,HSPC;HSPC001;HSPC007;HSPC009;HSPC011;HSPC013;HSPC014;HSPC015;HSPC016;HSPC018
NCRNA00173,Not in id_map (possible alias / deprecated / non-protein-coding),NCRNA00176;NCRNA00153;NCRNA00341;NCRNA00291;NCRNA00253,NCRNA00036;NCRNA00069;NCRNA00080;NCRNA00081;NCRNA00082;NCRNA00083;NCRNA00085;NCRNA00086;NCRNA00087;NCRNA00094
LOC151174,Non-canonical / lncRNA / LOC symbol,LOC151194;LOC51149,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
DKFZP779M0652,Not in id_map (possible alias / deprecated / non-protein-coding),,DKFZP313A0139;DKFZP313A2432;DKFZP313B0440;DKFZP313B211;DKFZP313B2333;DKFZP313D0829;DKFZP313G1735;DKFZP313H0531;DKFZP313H0817;DKFZP313I2429
H2BFXP,Not in id_map (possible alias / deprecated / non-protein-coding),,H2BFA;H2BFAIII;H2BFB;H2BFC;H2BFD;H2BFE;H2BFF;H2BFG;H2BFH;H2BFJ
?|340602,Unknown placeholder / assembler tag,,
FAM106C,Not in id_map (possible alias / deprecated / non-protein-coding),FAM176C;FAM166C;FAM164C;FAM161C;FAM120C,FAM100A;FAM100B;FAM101A;FAM101B;FAM102A;FAM102B;FAM103A1;FAM103A2P;FAM104A;FAM104B
SNORD116-20,Small RNA / non-coding gene (often excluded),,SNORA80EHG;SNORC
DGCR10,Not in id_map (possible alias / deprecated / non-protein-coding),DGCR1;DGCR14;DGCR13;DCR1,DGCR1;DGCR13;DGCR14;DGCR2;DGCR6;DGCR6L;DGCR8;DGCRK6
HYMAI,Not in id_map (possible alias / deprecated / non-protein-coding),,
C15ORF51,Not in id_map (possible alias / deprecated / non-protein-coding),C5ORF51;C1ORF51;C15ORF1;C21ORF51;C1ORF151,C15ORF1;C15ORF12;C15ORF13;C15ORF15;C15ORF16;C15ORF17;C15ORF18;C15ORF19;C15ORF2;C15ORF20
LOC100240734,Non-canonical / lncRNA / LOC symbol,,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
LOC285419,Non-canonical / lncRNA / LOC symbol,LOC285498,LOC201725;LOC220382;LOC255275;LOC257407;LOC283174;LOC283677;LOC284371;LOC285498;LOC285556;LOC285636
MGC16703,Not in id_map (possible alias / deprecated / non-protein-coding),MGC1603;MGC26703;MGC17403;MGC17303;MGC16973,MGC1;MGC10067;MGC10084;MGC1010;MGC10120;MGC10170;MGC10198;MGC10200;MGC10204;MGC10210
GNASAS,Not in id_map (possible alias / deprecated / non-protein-coding),GSAS;GNAS,GNAS;GNAS1;GNASXL
LOC440461,Non-canonical / lncRNA / LOC symbol,,LOC400451;LOC402665;LOC440087;LOC440145;LOC440348;LOC440350;LOC441376;LOC492311
FLJ39739,Not in id_map (possible alias / deprecated / non-protein-coding),FLJ39873;FLJ39796;FLJ39769;FLJ39737;FLJ39369,FLJ30002;FLJ30006;FLJ30012;FLJ30046;FLJ30047;FLJ30058;FLJ30067;FLJ30108;FLJ30135;FLJ30140
FLJ42875,Not in id_map (possible alias / deprecated / non-protein-coding),FLJ45875;FLJ42735;FLJ41287;FLJ32875;FLJ22875,FLJ40069;FLJ40081;FLJ40083;FLJ40084;FLJ40089;FLJ40097;FLJ40121;FLJ40125;FLJ40137;FLJ40142
LOC100134868,Non-canonical / lncRNA / LOC symbol,,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
FAM66A,Not in id_map (possible alias / deprecated / non-protein-coding),FAM166A;FAM6A;FAM96A;FAM86A;FAM76A,FAM60A;FAM61A;FAM61B;FAM62A;FAM62B;FAM62C;FAM63A;FAM63B;FAM64A;FAM65A
BAGE2,Not in id_map (possible alias / deprecated / non-protein-coding),BAG2;XAGE2;PAGE2;MAGE2;GAGE2,
SCARNA5,Not in id_map (possible alias / deprecated / non-protein-coding),SCARA5;SCAR5,SCAR;SCAR1;SCAR10;SCAR2;SCAR3;SCAR5;SCAR7;SCAR8;SCAR9;SCARA1
LOC150197,Non-canonical / lncRNA / LOC symbol,,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
LOC572558,Non-canonical / lncRNA / LOC symbol,,LOC51035;LOC51149;LOC51236;LOC51252;LOC51491;LOC54103;LOC54932;LOC57722
LOC100192378,Non-canonical / lncRNA / LOC symbol,,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
HOXA11AS,Not in id_map (possible alias / deprecated / non-protein-coding),HOXA11,HOXA1;HOXA10;HOXA11;HOXA13;HOXA2;HOXA3;HOXA4;HOXA5;HOXA6;HOXA7
C6ORF208,Not in id_map (possible alias / deprecated / non-protein-coding),C6ORF28;C6ORF20;C6ORF228;C6ORF210;C6ORF209,C6ORF1;C6ORF10;C6ORF102;C6ORF103;C6ORF104;C6ORF105;C6ORF106;C6ORF107;C6ORF108;C6ORF109
FAM182A,Not in id_map (possible alias / deprecated / non-protein-coding),FAM82A;FAM18A;FAM12A;FAM82A2;FAM82A1,FAM100A;FAM100B;FAM101A;FAM101B;FAM102A;FAM102B;FAM103A1;FAM103A2P;FAM104A;FAM104B
C1ORF180,Not in id_map (possible alias / deprecated / non-protein-coding),C14ORF180;C1ORF80;C1ORF10;C6ORF180;C21ORF80,C1ORF10;C1ORF100;C1ORF101;C1ORF102;C1ORF103;C1ORF105;C1ORF106;C1ORF107;C1ORF108;C1ORF109
LOC400759,Non-canonical / lncRNA / LOC symbol,,LOC400451;LOC402665;LOC440087;LOC440145;LOC440348;LOC440350;LOC441376;LOC492311
LOC731789,Non-canonical / lncRNA / LOC symbol,,LOC728008;LOC728591;LOC728621;LOC728858
LOC84856,Non-canonical / lncRNA / LOC symbol,LOC387856,LOC84645
LOC148824,Non-canonical / lncRNA / LOC symbol,,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
SUGT1P1,Not in id_map (possible alias / deprecated / non-protein-coding),SUGT1;SUGP1,SUGT1
EMR4P,Not in id_map (possible alias / deprecated / non-protein-coding),,
HAS2AS,Not in id_map (possible alias / deprecated / non-protein-coding),HAS2,HAS2
FLJ35024,Not in id_map (possible alias / deprecated / non-protein-coding),FLJ39502;FLJ36504;FLJ35924;FLJ35802;FLJ35246,FLJ30002;FLJ30006;FLJ30012;FLJ30046;FLJ30047;FLJ30058;FLJ30067;FLJ30108;FLJ30135;FLJ30140
MYCNOS,Not in id_map (possible alias / deprecated / non-protein-coding),MYOCOS;MYCNOT;MYCN,MYCN;MYCNOT
LOC100188949,Non-canonical / lncRNA / LOC symbol,,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
LOC283404,Non-canonical / lncRNA / LOC symbol,,LOC201725;LOC220382;LOC255275;LOC257407;LOC283174;LOC283677;LOC284371;LOC285498;LOC285556;LOC285636
LOC401463,Non-canonical / lncRNA / LOC symbol,,LOC400451;LOC402665;LOC440087;LOC440145;LOC440348;LOC440350;LOC441376;LOC492311
LOC201651,Non-canonical / lncRNA / LOC symbol,,LOC201725;LOC220382;LOC255275;LOC257407;LOC283174;LOC283677;LOC284371;LOC285498;LOC285556;LOC285636
C17ORF82,Not in id_map (possible alias / deprecated / non-protein-coding),C1ORF82;C1ORF182;C17ORF98;C17ORF92;C17ORF89,C17ORF1;C17ORF100;C17ORF101;C17ORF103;C17ORF104;C17ORF105;C17ORF106;C17ORF107;C17ORF108;C17ORF109
LOC374491,Non-canonical / lncRNA / LOC symbol,,LOC338328;LOC339804;LOC341346;LOC342897;LOC345222;LOC345630;LOC374920;LOC374973;LOC387715;LOC387804
GOLGA8C,Not in id_map (possible alias / deprecated / non-protein-coding),GOLGA8T;GOLGA8S;GOLGA8R;GOLGA8Q;GOLGA8O,GOLG;GOLGA1;GOLGA2;GOLGA3;GOLGA3AP1;GOLGA4;GOLGA5;GOLGA6;GOLGA6A;GOLGA6B
DDX11L2,Not in id_map (possible alias / deprecated / non-protein-coding),X11L2;DDX11,DDX1;DDX10;DDX11;DDX13;DDX14;DDX15;DDX16;DDX17;DDX18;DDX19
RPSAP52,Not in id_map (possible alias / deprecated / non-protein-coding),RPSAP58;PRPSAP2;RPAP2;PSAP2,RPSA;RPSAP58
FAM7A2,Not in id_map (possible alias / deprecated / non-protein-coding),FAM75A2;FAM171A2;FAM79A;FAM78A;FAM77A,FAM70A;FAM70B;FAM71A;FAM71B;FAM71C;FAM71D;FAM71E1;FAM71E2;FAM71F1;FAM71F2
CLEC4GP1,Not in id_map (possible alias / deprecated / non-protein-coding),CLEC4G;CLEC4H1,CLEC-1;CLEC-2;CLEC1;CLEC10A;CLEC11A;CLEC12A;CLEC12B;CLEC13A;CLEC13B;CLEC13C
C21ORF90,Not in id_map (possible alias / deprecated / non-protein-coding),C1ORF90;C21ORF98;C21ORF97;C21ORF95;C21ORF92,C21ORF1;C21ORF10;C21ORF101;C21ORF102;C21ORF103;C21ORF105;C21ORF106;C21ORF107;C21ORF108;C21ORF11
C6ORF217,Not in id_map (possible alias / deprecated / non-protein-coding),C6ORF27;C6ORF21;C6ORF17;C6ORF221;C6ORF213,C6ORF1;C6ORF10;C6ORF102;C6ORF103;C6ORF104;C6ORF105;C6ORF106;C6ORF107;C6ORF108;C6ORF109
BASE,Not in id_map (possible alias / deprecated / non-protein-coding),,
LOC127841,Non-canonical / lncRNA / LOC symbol,,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
LOC647946,Non-canonical / lncRNA / LOC symbol,,LOC606495;LOC619208;LOC643338;LOC644994;LOC645811;LOC646174;LOC646892;LOC653319
C6ORF195,Not in id_map (possible alias / deprecated / non-protein-coding),C6ORF95;C6ORF19;C6ORF15;C6ORF199;C6ORF198,C6ORF1;C6ORF10;C6ORF102;C6ORF103;C6ORF104;C6ORF105;C6ORF106;C6ORF107;C6ORF108;C6ORF109
ADAM21P1,Not in id_map (possible alias / deprecated / non-protein-coding),ADAM21;ADAM11,ADAM-TS10;ADAM-TS2;ADAM-TS6;ADAM-TS7;ADAM-TS8;ADAM10;ADAM11;ADAM12;ADAM15;ADAM17
C22ORF45,Not in id_map (possible alias / deprecated / non-protein-coding),C22ORF5;C22ORF4;C22ORF43;C22ORF42;C22ORF41,C22ORF1;C22ORF11;C22ORF12;C22ORF13;C22ORF14;C22ORF15;C22ORF16;C22ORF17;C22ORF18;C22ORF19
LOC389634,Non-canonical / lncRNA / LOC symbol,LOC388963,LOC338328;LOC339804;LOC341346;LOC342897;LOC345222;LOC345630;LOC374920;LOC374973;LOC387715;LOC387804
HCG4P6,Not in id_map (possible alias / deprecated / non-protein-coding),,HCG40743
C3ORF55,Not in id_map (possible alias / deprecated / non-protein-coding),C3ORF5;CXORF55;C9ORF55;C8ORF55;C7ORF55,C3ORF1;C3ORF10;C3ORF11;C3ORF13;C3ORF14;C3ORF15;C3ORF16;C3ORF18;C3ORF19;C3ORF20
C1ORF157,Not in id_map (possible alias / deprecated / non-protein-coding),C1ORF57;C1ORF17;C1ORF15;C9ORF157;C6ORF157,C1ORF10;C1ORF100;C1ORF101;C1ORF102;C1ORF103;C1ORF105;C1ORF106;C1ORF107;C1ORF108;C1ORF109
SNORA63,Not in id_map (possible alias / deprecated / non-protein-coding),,SNORA80EHG;SNORC
KC6,Not in id_map (possible alias / deprecated / non-protein-coding),C6,
TREML3,Not in id_map (possible alias / deprecated / non-protein-coding),TRPML3;TREML4;TREML2;TREML1;TRM3,TREM-1;TREM-2;TREM1;TREM2;TREM2A;TREM2B;TREM2C;TREM4;TREM5;TREML1
ALS2CR11,Not in id_map (possible alias / deprecated / non-protein-coding),ALS2CR1;ALS2CR19;ALS2CR18;ALS2CR17;ALS2CR16,ALS2;ALS20;ALS2CL;ALS2CR1;ALS2CR12;ALS2CR13;ALS2CR14;ALS2CR15;ALS2CR16;ALS2CR17
C12ORF36,Not in id_map (possible alias / deprecated / non-protein-coding),C1ORF36;C12ORF6;C12ORF3;C22ORF36;C20ORF36,C12ORF1;C12ORF10;C12ORF11;C12ORF12;C12ORF14;C12ORF15;C12ORF2;C12ORF22;C12ORF23;C12ORF24
SKINTL,Not in id_map (possible alias / deprecated / non-protein-coding),SNTL;SKIL;KITL,SKINKINE
C19ORF45,Not in id_map (possible alias / deprecated / non-protein-coding),C1ORF45;C19ORF5;C19ORF4;C9ORF145;C21ORF45,C19ORF1;C19ORF10;C19ORF12;C19ORF13;C19ORF14;C19ORF15;C19ORF16;C19ORF17;C19ORF18;C19ORF2
CDR1,Not in id_map (possible alias / deprecated / non-protein-coding),CDRT1;CDHR1;CDAR1;DR1;CR1,
C1ORF177,Not in id_map (possible alias / deprecated / non-protein-coding),C1ORF77;C1ORF17;C6ORF177;C21ORF77;C1ORF187,C1ORF10;C1ORF100;C1ORF101;C1ORF102;C1ORF103;C1ORF105;C1ORF106;C1ORF107;C1ORF108;C1ORF109
NCRNA00158,Not in id_map (possible alias / deprecated / non-protein-coding),NCRNA00153;NCRNA00341;NCRNA00291;NCRNA00282;NCRNA00253,NCRNA00036;NCRNA00069;NCRNA00080;NCRNA00081;NCRNA00082;NCRNA00083;NCRNA00085;NCRNA00086;NCRNA00087;NCRNA00094
LOC100133669,Non-canonical / lncRNA / LOC symbol,,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
