input_col	mapped_ensembl	method
B3GALT5	ENSG00000183778	symbol
KRT79	ENSG00000185640	symbol
EYA4	ENSG00000112319	symbol
EDAR	ENSG00000135960	symbol
GAL	ENSG00000069482	symbol
GPX2	ENSG00000176153	symbol
IGFN1	ENSG00000163395	symbol
HTR1E	ENSG00000168830	symbol
TTLL6	ENSG00000170703	symbol
PLCXD3	ENSG00000182836	symbol
NCAN	ENSG00000130287	symbol
CNR2	ENSG00000188822	symbol
EVPLL	ENSG00000214860	symbol
NLRP8	ENSG00000179709	symbol
RSPO4	ENSG00000101282	symbol
ALDH3A1	ENSG00000108602	symbol
CLDN6	ENSG00000184697	symbol
TPH1	ENSG00000129167	symbol
MT1H	ENSG00000205358	symbol
MMP10	ENSG00000166670	symbol
HMGCLL1	ENSG00000146151	symbol
RNASE7	ENSG00000165799	symbol
CTSG	ENSG00000100448	symbol
ZDHHC22	ENSG00000177108	symbol
SIGLEC12	ENSG00000254521	symbol
MT3	ENSG00000087250	symbol
ALX4	ENSG00000052850	symbol
KLF17	ENSG00000171872	symbol
KLK3	ENSG00000142515	symbol
NEFL	ENSG00000277586	symbol
CRHR1	ENSG00000120088	symbol
RBP2	ENSG00000114113	symbol
USH1C	ENSG00000006611	symbol
ITIH2	ENSG00000151655	symbol
CCDC60	ENSG00000183273	symbol
CHRDL2	ENSG00000054938	symbol
DCAF12L2	ENSG00000198354	symbol
GLDC	ENSG00000178445	symbol
SLC28A1	ENSG00000156222	symbol
KLKP1	ENSG00000197588	symbol
PKHD1	ENSG00000170927	symbol
ZNF556	ENSG00000172000	symbol
SIM1	ENSG00000112246	symbol
C11orf16	ENSG00000176029	symbol
SYTL5	ENSG00000147041	symbol
FGF5	ENSG00000138675	symbol
GJB4	ENSG00000189433	symbol
TRPV3	ENSG00000167723	symbol
CHRNA4	ENSG00000101204	symbol
VGF	ENSG00000128564	symbol
PRR18	ENSG00000176381	symbol
NXPH2	ENSG00000144227	symbol
PAX3	ENSG00000135903	symbol
CHRNA2	ENSG00000120903	symbol
CNTFR	ENSG00000122756	symbol
MATN4	ENSG00000124159	symbol
CXCL1	ENSG00000163739	symbol
TMEM105	ENSG00000185332	symbol
MAT1A	ENSG00000151224	symbol
COL19A1	ENSG00000082293	symbol
CLEC17A	ENSG00000187912	symbol
RAB3C	ENSG00000152932	symbol
IGF2BP1	ENSG00000159217	symbol
GPR15	ENSG00000154165	symbol
GABRA5	ENSG00000186297	symbol
DACT2	ENSG00000164488	symbol
GPR87	ENSG00000138271	symbol
HERC2P4	ENSG00000230267	symbol
BEST3	ENSG00000127325	symbol
CALN1	ENSG00000183166	symbol
KCNH8	ENSG00000183960	symbol
VWA3A	ENSG00000175267	symbol
CYP2C8	ENSG00000138115	symbol
GRPR	ENSG00000126010	symbol
UTS2	ENSG00000049247	symbol
APOB	ENSG00000084674	symbol
SNAP91	ENSG00000065609	symbol
FCRL5	ENSG00000143297	symbol
UPK1B	ENSG00000114638	symbol
ABCB5	ENSG00000004846	symbol
WDR38	ENSG00000136918	symbol
ARPP21	ENSG00000172995	symbol
ATP13A4	ENSG00000127249	symbol
CSN3	ENSG00000171209	symbol
POPDC3	ENSG00000132429	symbol
SYT3	ENSG00000213023	symbol
CHRM1	ENSG00000168539	symbol
SNTG2	ENSG00000172554	symbol
GLYATL3	ENSG00000203972	symbol
NRXN1	ENSG00000179915	symbol
NKAIN4	ENSG00000101198	symbol
HAR1B	ENSG00000231133	symbol
FCAMR	ENSG00000162897	symbol
GJB5	ENSG00000189280	symbol
NLGN1	ENSG00000169760	symbol
APOBEC4	ENSG00000173627	symbol
FGA	ENSG00000171560	symbol
RIMS1	ENSG00000079841	symbol
SVOP	ENSG00000166111	symbol
NPHS1	ENSG00000161270	symbol
ABCC11	ENSG00000121270	symbol
RASSF10	ENSG00000189431	symbol
SEZ6	ENSG00000063015	symbol
PDIA2	ENSG00000185615	symbol
KCNG1	ENSG00000026559	symbol
ACTC1	ENSG00000159251	symbol
CMTM5	ENSG00000166091	symbol
CAMKV	ENSG00000164076	symbol
KPNA7	ENSG00000185467	symbol
SYT14	ENSG00000143469	symbol
ANKRD1	ENSG00000148677	symbol
OLAH	ENSG00000152463	symbol
LRRC14B	ENSG00000185028	symbol
CXCR2P1	ENSG00000229754	symbol
RPRM	ENSG00000177519	symbol
SLC5A5	ENSG00000105641	symbol
STAB2	ENSG00000136011	symbol
SYT4	ENSG00000132872	symbol
KIF5A	ENSG00000155980	symbol
SLC39A12	ENSG00000148482	symbol
C14orf39	ENSG00000179008	symbol
PSCA	ENSG00000167653	symbol
GJB3	ENSG00000188910	symbol
KCNC1	ENSG00000129159	symbol
GTSF1	ENSG00000170627	symbol
HCN4	ENSG00000138622	symbol
GNGT1	ENSG00000127928	symbol
SLITRK3	ENSG00000121871	symbol
ADARB2	ENSG00000185736	symbol
PIGR	ENSG00000162896	symbol
ZPLD1	ENSG00000170044	symbol
KCNB2	ENSG00000182674	symbol
NEK10	ENSG00000163491	symbol
ISL2	ENSG00000159556	symbol
KIR2DL4	ENSG00000189013	symbol
HHIPL2	ENSG00000143512	symbol
BFSP2	ENSG00000170819	symbol
DNASE1L3	ENSG00000163687	symbol
KLRC3	ENSG00000205810	symbol
MYBPC2	ENSG00000086967	symbol
ZFP91-CNTF	ENSG00000255073	symbol
NLRP2	ENSG00000022556	symbol
MAGEB1	ENSG00000214107	symbol
MAGEA9B	ENSG00000267978	symbol
KRT40	ENSG00000204889	symbol
BEND4	ENSG00000188848	symbol
ADAMTS20	ENSG00000173157	symbol
FCRL3	ENSG00000160856	symbol
C7orf57	ENSG00000164746	symbol
ADRB1	ENSG00000043591	symbol
FGF9	ENSG00000102678	symbol
EYA1	ENSG00000104313	symbol
EGR4	ENSG00000135625	symbol
IL17B	ENSG00000127743	symbol
NTSR1	ENSG00000101188	symbol
MS4A1	ENSG00000156738	symbol
MUC5B	ENSG00000117983	symbol
TLX1NB	ENSG00000236311	symbol
RNF186	ENSG00000178828	symbol
TRIM54	ENSG00000138100	symbol
NTF4	ENSG00000225950	symbol
KCNJ6	ENSG00000157542	symbol
ROS1	ENSG00000047936	symbol
LGALS2	ENSG00000100079	symbol
PCDHA5	ENSG00000204965	symbol
MUC21	ENSG00000204544	symbol
PPP2R2C	ENSG00000074211	symbol
ALDH1L1	ENSG00000144908	symbol
WDR17	ENSG00000150627	symbol
GABRG3	ENSG00000182256	symbol
KRT33A	ENSG00000006059	symbol
TCERG1L	ENSG00000176769	symbol
RASAL1	ENSG00000111344	symbol
CNGA3	ENSG00000144191	symbol
SLC8A2	ENSG00000118160	symbol
DYDC1	ENSG00000170788	symbol
PKHD1L1	ENSG00000205038	symbol
NDP	ENSG00000124479	symbol
SYCE1L	ENSG00000205078	symbol
ZNF492	ENSG00000229676	symbol
IL12B	ENSG00000113302	symbol
CUX2	ENSG00000111249	symbol
MAEL	ENSG00000143194	symbol
MIMT1	ENSG00000268654	symbol
GLP1R	ENSG00000112164	symbol
MLC1	ENSG00000100427	symbol
DMBX1	ENSG00000197587	symbol
CYP1A1	ENSG00000140465	symbol
NEFM	ENSG00000104722	symbol
GCNT3	ENSG00000140297	symbol
SYCP1	ENSG00000198765	symbol
MASP1	ENSG00000127241	symbol
FGF19	ENSG00000162344	symbol
UNC80	ENSG00000144406	symbol
RGPD8	ENSG00000169629	symbol
FXYD1	ENSG00000266964	symbol
GDF5	ENSG00000125965	symbol
HIF3A	ENSG00000124440	symbol
FAM83A	ENSG00000147689	symbol
SLC19A3	ENSG00000135917	symbol
DMRTA1	ENSG00000176399	symbol
FSD1	ENSG00000105255	symbol
NGB	ENSG00000165553	symbol
GRP	ENSG00000134443	symbol
CCL3L3	ENSG00000276085	symbol
LHX2	ENSG00000106689	symbol
CHRNB4	ENSG00000117971	symbol
PLA2G4D	ENSG00000159337	symbol
FOLH1B	ENSG00000134612	symbol
SLC35D3	ENSG00000182747	symbol
KRT77	ENSG00000189182	symbol
ATRNL1	ENSG00000107518	symbol
SLC5A11	ENSG00000158865	symbol
SLITRK5	ENSG00000165300	symbol
NR0B1	ENSG00000169297	symbol
WNT6	ENSG00000115596	symbol
DIRAS2	ENSG00000165023	symbol
HSD3B2	ENSG00000203859	symbol
ELFN2	ENSG00000243902	symbol
OR2W3	ENSG00000238243	symbol
FAM83E	ENSG00000105523	symbol
DQX1	ENSG00000144045	symbol
SERPINB5	ENSG00000206075	symbol
IRS4	ENSG00000133124	symbol
PCDHA9	ENSG00000204961	symbol
SCN2B	ENSG00000149575	symbol
HOXA13	ENSG00000106031	symbol
FOXN1	ENSG00000109101	symbol
DMRTA2	ENSG00000142700	symbol
IGFL2	ENSG00000204866	symbol
CACNA1F	ENSG00000102001	symbol
ATP12A	ENSG00000075673	symbol
POTEC	ENSG00000183206	symbol
RGR	ENSG00000148604	symbol
KRTDAP	ENSG00000188508	symbol
HAS1	ENSG00000105509	symbol
CAPN9	ENSG00000135773	symbol
ELAVL3	ENSG00000196361	symbol
DCDC1	ENSG00000170959	symbol
MRGPRE	ENSG00000184350	symbol
STK31	ENSG00000196335	symbol
RELN	ENSG00000189056	symbol
ZNF676	ENSG00000196109	symbol
C10orf67	ENSG00000179133	symbol
DDX43	ENSG00000080007	symbol
SOX3	ENSG00000134595	symbol
CCL19	ENSG00000172724	symbol
SHISA6	ENSG00000188803	symbol
PRKAG3	ENSG00000115592	symbol
DKK1	ENSG00000107984	symbol
TBX22	ENSG00000122145	symbol
ECEL1	ENSG00000171551	symbol
AKR1D1	ENSG00000122787	symbol
ZNF648	ENSG00000179930	symbol
ASTN1	ENSG00000152092	symbol
MORN5	ENSG00000185681	symbol
UMODL1	ENSG00000177398	symbol
PNMA3	ENSG00000183837	symbol
TTC29	ENSG00000137473	symbol
OLFM3	ENSG00000118733	symbol
VIL1	ENSG00000127831	symbol
FAM106A	ENSG00000273018	symbol
HOXD13	ENSG00000128714	symbol
AMH	ENSG00000104899	symbol
LHX9	ENSG00000143355	symbol
CPA5	ENSG00000158525	symbol
SYCP2L	ENSG00000153157	symbol
DMRT1	ENSG00000137090	symbol
TNR	ENSG00000116147	symbol
CDKL2	ENSG00000138769	symbol
CLEC6A	ENSG00000205846	symbol
ZNF99	ENSG00000213973	symbol
UGT8	ENSG00000174607	symbol
ADCYAP1R1	ENSG00000078549	symbol
CYP26A1	ENSG00000095596	symbol
CLEC2L	ENSG00000236279	symbol
GCM1	ENSG00000137270	symbol
RPS28	ENSG00000233927	symbol
FER1L6	ENSG00000214814	symbol
USH1G	ENSG00000182040	symbol
KRT24	ENSG00000167916	symbol
CLEC9A	ENSG00000197992	symbol
PSG9	ENSG00000183668	symbol
GJB7	ENSG00000164411	symbol
GRB14	ENSG00000115290	symbol
KY	ENSG00000174611	symbol
KIR3DL2	ENSG00000240403	symbol
TUBBP5	ENSG00000159247	symbol
KLK1	ENSG00000167748	symbol
SLC22A10	ENSG00000184999	symbol
DBX2	ENSG00000185610	symbol
LUZP2	ENSG00000187398	symbol
DNAI1	ENSG00000122735	symbol
TEX19	ENSG00000182459	symbol
GBA3	ENSG00000249948	symbol
PRMT8	ENSG00000111218	symbol
MAGEA11	ENSG00000185247	symbol
FAM131C	ENSG00000185519	symbol
HRH3	ENSG00000101180	symbol
SMTNL2	ENSG00000188176	symbol
GFAP	ENSG00000131095	symbol
ALX1	ENSG00000180318	symbol
DPP6	ENSG00000130226	symbol
FRMD1	ENSG00000153303	symbol
KIRREL3	ENSG00000149571	symbol
PEX5L	ENSG00000114757	symbol
LRFN2	ENSG00000156564	symbol
VWA5B2	ENSG00000145198	symbol
TFF3	ENSG00000160180	symbol
CBLN1	ENSG00000102924	symbol
KCNS1	ENSG00000124134	symbol
COL4A3	ENSG00000169031	symbol
CLEC4C	ENSG00000198178	symbol
ISL1	ENSG00000016082	symbol
WNT3A	ENSG00000154342	symbol
KLRC2	ENSG00000205809	symbol
FGFBP2	ENSG00000137441	symbol
SERPINA10	ENSG00000140093	symbol
CCL13	ENSG00000181374	symbol
LRRC26	ENSG00000184709	symbol
SLC14A2	ENSG00000132874	symbol
ZFP42	ENSG00000179059	symbol
ANXA8	ENSG00000276850	symbol
CXCR1	ENSG00000163464	symbol
GDA	ENSG00000119125	symbol
GALNTL6	ENSG00000174473	symbol
PLA2G2D	ENSG00000117215	symbol
PLP1	ENSG00000123560	symbol
FAM180B	ENSG00000196666	symbol
PSG5	ENSG00000204941	symbol
CXCL3	ENSG00000163734	symbol
CCDC83	ENSG00000150676	symbol
ZP1	ENSG00000149506	symbol
NR2E1	ENSG00000112333	symbol
GPRIN2	ENSG00000204175	symbol
TRIM63	ENSG00000158022	symbol
CNNM1	ENSG00000119946	symbol
DAB1	ENSG00000173406	symbol
HMX3	ENSG00000188620	symbol
FMN2	ENSG00000155816	symbol
IL17REL	ENSG00000188263	symbol
AQP6	ENSG00000086159	symbol
SLC39A2	ENSG00000165794	symbol
DIO3	ENSG00000197406	symbol
ZG16	ENSG00000174992	symbol
NAT2	ENSG00000156006	symbol
KLK4	ENSG00000167749	symbol
NWD1	ENSG00000188039	symbol
SLC35F3	ENSG00000183780	symbol
SHISA3	ENSG00000178343	symbol
LHX8	ENSG00000162624	symbol
DTHD1	ENSG00000197057	symbol
GABRB3	ENSG00000166206	symbol
DSCAML1	ENSG00000177103	symbol
ART4	ENSG00000111339	symbol
ZNF98	ENSG00000197360	symbol
NKX6-1	ENSG00000163623	symbol
VAX1	ENSG00000148704	symbol
SLC22A16	ENSG00000004809	symbol
LCN10	ENSG00000187922	symbol
CLEC4D	ENSG00000166527	symbol
KLK2	ENSG00000167751	symbol
KIAA0319	ENSG00000137261	symbol
ATP1A2	ENSG00000018625	symbol
CPLX3	ENSG00000213578	symbol
HCN1	ENSG00000164588	symbol
NRG3	ENSG00000185737	symbol
CCL17	ENSG00000102970	symbol
TIMD4	ENSG00000145850	symbol
ZNF804B	ENSG00000182348	symbol
ACTBL2	ENSG00000169067	symbol
GLYATL1	ENSG00000166840	symbol
TBX4	ENSG00000121075	symbol
MEPE	ENSG00000152595	symbol
PROK1	ENSG00000143125	symbol
ALOX12B	ENSG00000179477	symbol
GABRP	ENSG00000094755	symbol
CCL15	ENSG00000275718	symbol
GDF10	ENSG00000266524	symbol
SCT	ENSG00000070031	symbol
PRDM13	ENSG00000112238	symbol
LYZL2	ENSG00000151033	symbol
NLRP6	ENSG00000174885	symbol
TBC1D3C	ENSG00000278299	symbol
DYDC2	ENSG00000133665	symbol
PSAPL1	ENSG00000178597	symbol
TPRXL	ENSG00000180438	symbol
DES	ENSG00000175084	symbol
DSCAM	ENSG00000171587	symbol
MT1DP	ENSG00000205361	symbol
NKX2-8	ENSG00000136327	symbol
POF1B	ENSG00000124429	symbol
F7	ENSG00000057593	symbol
TEKT2	ENSG00000092850	symbol
NRG2	ENSG00000158458	symbol
RXRG	ENSG00000143171	symbol
NPB	ENSG00000183979	symbol
SLC18A2	ENSG00000165646	symbol
KRT2	ENSG00000172867	symbol
PCOLCE2	ENSG00000163710	symbol
OR7A5	ENSG00000188269	symbol
FMO6P	ENSG00000117507	symbol
SULT1C2	ENSG00000198203	symbol
ACTA1	ENSG00000143632	symbol
MAP7D2	ENSG00000184368	symbol
PNLIPRP3	ENSG00000203837	symbol
DSC1	ENSG00000134765	symbol
HTR2C	ENSG00000147246	symbol
UGT1A7	ENSG00000244122	symbol
NHLH2	ENSG00000177551	symbol
TCP11	ENSG00000124678	symbol
COX6B2	ENSG00000160471	symbol
TNIP3	ENSG00000050730	symbol
LHFPL4	ENSG00000156959	symbol
ZNF716	ENSG00000182111	symbol
TERT	ENSG00000164362	symbol
FOXD1	ENSG00000251493	symbol
PTPRN	ENSG00000054356	symbol
TAGLN3	ENSG00000144834	symbol
KAAG1	ENSG00000146049	symbol
ABCA12	ENSG00000144452	symbol
BNC1	ENSG00000169594	symbol
HRK	ENSG00000135116	symbol
WDR49	ENSG00000174776	symbol
PLAC4	ENSG00000280109	symbol
DNAH9	ENSG00000007174	symbol
CTAG2	ENSG00000126890	symbol
GRIK4	ENSG00000149403	symbol
CYP4A22	ENSG00000162365	symbol
LRP2	ENSG00000081479	symbol
CHODL	ENSG00000154645	symbol
TLX3	ENSG00000164438	symbol
IGSF9B	ENSG00000080854	symbol
CRTAC1	ENSG00000095713	symbol
CALCB	ENSG00000175868	symbol
ZIC3	ENSG00000156925	symbol
DKKL1	ENSG00000104901	symbol
CNGB1	ENSG00000070729	symbol
FER1L5	ENSG00000249715	symbol
SPRR2A	ENSG00000241794	symbol
AQP4	ENSG00000171885	symbol
CNKSR2	ENSG00000149970	symbol
TMEM145	ENSG00000167619	symbol
HUS1B	ENSG00000188996	symbol
CNTN2	ENSG00000184144	symbol
B3GAT1	ENSG00000109956	symbol
CYP8B1	ENSG00000180432	symbol
REG4	ENSG00000134193	symbol
RHBG	ENSG00000132677	symbol
ABCA8	ENSG00000141338	symbol
DRD2	ENSG00000149295	symbol
AKAP14	ENSG00000186471	symbol
OR2B6	ENSG00000124657	symbol
RGS6	ENSG00000182732	symbol
SYT10	ENSG00000110975	symbol
TIFAB	ENSG00000255833	symbol
KRT5	ENSG00000186081	symbol
NCCRP1	ENSG00000188505	symbol
ICAM5	ENSG00000105376	symbol
GRM7	ENSG00000196277	symbol
AGXT	ENSG00000172482	symbol
TP53TG3B	ENSG00000261509	symbol
ABO	ENSG00000175164	symbol
OR7D2	ENSG00000188000	symbol
ADRA1A	ENSG00000120907	symbol
INS-IGF2	ENSG00000129965	symbol
TMEM74	ENSG00000164841	symbol
SPIB	ENSG00000269404	symbol
SFTPB	ENSG00000168878	symbol
IGFBP1	ENSG00000146678	symbol
KISS1	ENSG00000170498	symbol
FZD9	ENSG00000188763	symbol
GSG1L	ENSG00000169181	symbol
TTLL2	ENSG00000120440	symbol
PCDH20	ENSG00000280165	symbol
SBK2	ENSG00000187550	symbol
VCX3A	ENSG00000169059	symbol
FOXG1	ENSG00000176165	symbol
VSX1	ENSG00000100987	symbol
APOA1	ENSG00000118137	symbol
CHD5	ENSG00000116254	symbol
ANKRD34C	ENSG00000235711	symbol
CYP2A13	ENSG00000197838	symbol
PLD5	ENSG00000180287	symbol
FCRL4	ENSG00000163518	symbol
ADCY8	ENSG00000155897	symbol
CHP2	ENSG00000166869	symbol
DCDC2	ENSG00000146038	symbol
XCR1	ENSG00000173578	symbol
ZNF280A	ENSG00000169548	symbol
CD164L2	ENSG00000174950	symbol
C16orf89	ENSG00000153446	symbol
HAO2	ENSG00000116882	symbol
RMST	ENSG00000255794	symbol
PCDHA4	ENSG00000204967	symbol
KERA	ENSG00000139330	symbol
IRX6	ENSG00000159387	symbol
RLBP1	ENSG00000140522	symbol
LRRIQ4	ENSG00000188306	symbol
S100A12	ENSG00000163221	symbol
DACH2	ENSG00000126733	symbol
SIGLEC6	ENSG00000105492	symbol
PPP1R14C	ENSG00000198729	symbol
TSLP	ENSG00000145777	symbol
VWA3B	ENSG00000168658	symbol
KCNQ4	ENSG00000117013	symbol
TPTE	ENSG00000274391	symbol
NRAP	ENSG00000197893	symbol
PCDHA10	ENSG00000250120	symbol
LAIR2	ENSG00000167618	symbol
CLCN1	ENSG00000188037	symbol
KIF19	ENSG00000196169	symbol
GLYATL2	ENSG00000156689	symbol
SLC6A3	ENSG00000142319	symbol
REN	ENSG00000143839	symbol
MGAM	ENSG00000257335	symbol
FTCD	ENSG00000160282	symbol
LMX1A	ENSG00000162761	symbol
KLHL34	ENSG00000185915	symbol
PRRT4	ENSG00000224940	symbol
FAM3B	ENSG00000183844	symbol
EPGN	ENSG00000182585	symbol
PNOC	ENSG00000168081	symbol
KCNT1	ENSG00000107147	symbol
SLAMF9	ENSG00000162723	symbol
SLC12A3	ENSG00000070915	symbol
SOHLH1	ENSG00000165643	symbol
FOXE1	ENSG00000178919	symbol
CALY	ENSG00000130643	symbol
NOX5	ENSG00000255346	symbol
KLRC1	ENSG00000134545	symbol
CSF3	ENSG00000108342	symbol
HAPLN1	ENSG00000145681	symbol
MMP23A	ENSG00000215914	symbol
ENTPD8	ENSG00000188833	symbol
PAK3	ENSG00000077264	symbol
LOC153910	ENSG00000236366	symbol
HOXC13	ENSG00000123364	symbol
FBLL1	ENSG00000188573	symbol
HTR2A	ENSG00000102468	symbol
SLC13A5	ENSG00000141485	symbol
RANBP3L	ENSG00000164188	symbol
CCL20	ENSG00000115009	symbol
BCAR4	ENSG00000262117	symbol
TMEM179	ENSG00000258986	symbol
FMO9P	ENSG00000215834	symbol
SLC17A8	ENSG00000179520	symbol
GPR158	ENSG00000151025	symbol
TIMP4	ENSG00000157150	symbol
GLB1L3	ENSG00000166105	symbol
AMY2A	ENSG00000243480	symbol
CLDN25	ENSG00000228607	symbol
ST6GALNAC1	ENSG00000070526	symbol
TRPV6	ENSG00000165125	symbol
SLC38A11	ENSG00000169507	symbol
DSC3	ENSG00000134762	symbol
STK32A	ENSG00000169302	symbol
C8orf34	ENSG00000165084	symbol
B3GNT3	ENSG00000179913	symbol
L1TD1	ENSG00000240563	symbol
RAET1K	ENSG00000218358	symbol
PADI1	ENSG00000142623	symbol
AQP2	ENSG00000167580	symbol
NOTUM	ENSG00000185269	symbol
TMEM82	ENSG00000162460	symbol
RALYL	ENSG00000184672	symbol
DUSP26	ENSG00000133878	symbol
HMSD	ENSG00000221887	symbol
PTPRT	ENSG00000196090	symbol
SPATA22	ENSG00000141255	symbol
C12orf74	ENSG00000187510	alias
FAM83B	ENSG00000168143	symbol
KIAA1210	ENSG00000250423	symbol
LRRN4	ENSG00000125872	symbol
STMN4	ENSG00000015592	symbol
TRPM6	ENSG00000119121	symbol
MSLNL	ENSG00000162006	symbol
UPK2	ENSG00000110375	symbol
KCNK12	ENSG00000184261	symbol
SERPINB13	ENSG00000197641	symbol
GPC5	ENSG00000179399	symbol
CHIT1	ENSG00000133063	symbol
NPY6R	ENSG00000226306	symbol
PPP1R14D	ENSG00000166143	symbol
DUOXA2	ENSG00000140274	symbol
OVCH2	ENSG00000183378	symbol
MMP27	ENSG00000137675	symbol
NPM2	ENSG00000158806	symbol
COX6A2	ENSG00000156885	symbol
RIC3	ENSG00000166405	symbol
DNAH8	ENSG00000124721	symbol
EPB42	ENSG00000166947	symbol
ANO4	ENSG00000151572	symbol
SIGLEC15	ENSG00000197046	symbol
RNF222	ENSG00000189051	symbol
OR2L13	ENSG00000196071	symbol
CNTN6	ENSG00000134115	symbol
ZP2	ENSG00000103310	symbol
HMX1	ENSG00000215612	symbol
ATP2B3	ENSG00000067842	symbol
TARP	ENSG00000211689	symbol
KLRG2	ENSG00000188883	symbol
TDH	ENSG00000154316	symbol
CNTNAP4	ENSG00000152910	symbol
PROM1	ENSG00000007062	symbol
IL12RB2	ENSG00000081985	symbol
GPR156	ENSG00000175697	symbol
FERMT1	ENSG00000101311	symbol
SSX1	ENSG00000126752	symbol
RGS7BP	ENSG00000186479	symbol
RIMBP2	ENSG00000060709	symbol
HEPHL1	ENSG00000181333	symbol
TRIM31	ENSG00000204616	symbol
IGFALS	ENSG00000099769	symbol
MYBPH	ENSG00000133055	symbol
PRPH	ENSG00000135406	symbol
LRRC3B	ENSG00000179796	symbol
CDK15	ENSG00000138395	symbol
CR1L	ENSG00000197721	symbol
AWAT2	ENSG00000147160	symbol
RAD21L1	ENSG00000244588	symbol
C6orf118	ENSG00000112539	symbol
FAM133A	ENSG00000179083	symbol
GAL3ST1	ENSG00000128242	symbol
FUT5	ENSG00000130383	symbol
CD300E	ENSG00000186407	symbol
IGSF5	ENSG00000183067	symbol
MYOG	ENSG00000122180	symbol
LGI3	ENSG00000168481	symbol
MYL3	ENSG00000160808	symbol
DDX25	ENSG00000109832	symbol
RSPO1	ENSG00000169218	symbol
TTC22	ENSG00000006555	symbol
LIN28B	ENSG00000187772	symbol
AP3B2	ENSG00000103723	symbol
RD3	ENSG00000198570	symbol
NCR3	ENSG00000204475	symbol
CALHM1	ENSG00000185933	symbol
KCNU1	ENSG00000215262	symbol
JAKMIP1	ENSG00000152969	symbol
IL5RA	ENSG00000091181	symbol
DNAH12	ENSG00000174844	symbol
SCGB3A2	ENSG00000164265	symbol
IDO2	ENSG00000188676	symbol
ESPNP	ENSG00000268869	symbol
KIF25	ENSG00000125337	symbol
TMPRSS9	ENSG00000178297	symbol
ASXL3	ENSG00000141431	symbol
ANGPTL5	ENSG00000187151	symbol
CA10	ENSG00000154975	symbol
FOXL2	ENSG00000183770	symbol
CCDC144NL	ENSG00000205212	symbol
SIGLEC14	ENSG00000254415	symbol
ZNF727	ENSG00000214652	symbol
TNFRSF13C	ENSG00000159958	symbol
SFTA2	ENSG00000196260	symbol
ABCB11	ENSG00000073734	symbol
ANO5	ENSG00000171714	symbol
CTXN2	ENSG00000233932	symbol
NKX2-3	ENSG00000119919	symbol
PLCH1	ENSG00000114805	symbol
RFPL1	ENSG00000128250	symbol
TRPM5	ENSG00000070985	symbol
KCND3	ENSG00000171385	symbol
MAP1LC3C	ENSG00000197769	symbol
FABP4	ENSG00000170323	symbol
PDZRN4	ENSG00000165966	symbol
EGOT	ENSG00000235947	symbol
HSD17B3	ENSG00000130948	symbol
RNF212	ENSG00000178222	symbol
ZNF80	ENSG00000174255	symbol
TDRD9	ENSG00000156414	symbol
CLEC4F	ENSG00000152672	symbol
LGSN	ENSG00000146166	symbol
CLDN16	ENSG00000113946	symbol
CNGA1	ENSG00000198515	symbol
KCNK10	ENSG00000100433	symbol
SLC44A5	ENSG00000137968	symbol
CRB1	ENSG00000134376	symbol
SNX32	ENSG00000172803	symbol
ANKRD7	ENSG00000106013	symbol
WFIKKN2	ENSG00000173714	symbol
KCNV1	ENSG00000164794	symbol
CT45A1	ENSG00000268940	symbol
LIX1	ENSG00000145721	symbol
EPHA7	ENSG00000135333	symbol
RAB3B	ENSG00000169213	symbol
STK33	ENSG00000130413	symbol
ARL14	ENSG00000179674	symbol
CAPNS2	ENSG00000256812	symbol
THRSP	ENSG00000151365	symbol
GPR174	ENSG00000147138	symbol
FLT3	ENSG00000122025	symbol
CKMT1A	ENSG00000223572	symbol
CLEC4G	ENSG00000182566	symbol
RORB	ENSG00000198963	symbol
CA3	ENSG00000164879	symbol
ST8SIA6	ENSG00000148488	symbol
SNX31	ENSG00000174226	symbol
TMEM171	ENSG00000157111	symbol
TTC24	ENSG00000187862	symbol
HGFAC	ENSG00000109758	symbol
KCNMB2	ENSG00000275163	symbol
KCNF1	ENSG00000162975	symbol
CYP4F2	ENSG00000186115	symbol
DOC2B	ENSG00000272636	symbol
ASB12	ENSG00000198881	symbol
WDR87	ENSG00000171804	symbol
MYH1	ENSG00000109061	symbol
GRIN2B	ENSG00000273079	symbol
PMP2	ENSG00000147588	symbol
SCNN1G	ENSG00000166828	symbol
IL1R2	ENSG00000115590	symbol
IL24	ENSG00000162892	symbol
GAGE4	ENSG00000205777	alias
KCNK9	ENSG00000169427	symbol
CNTNAP2	ENSG00000174469	symbol
ROPN1L	ENSG00000145491	symbol
TRAT1	ENSG00000163519	symbol
PCP4L1	ENSG00000248485	symbol
HNF4G	ENSG00000164749	symbol
PAPPA2	ENSG00000116183	symbol
DOK7	ENSG00000175920	symbol
KIR2DS4	ENSG00000221957	symbol
MAGEA8	ENSG00000156009	symbol
ADH4	ENSG00000198099	symbol
CP	ENSG00000047457	symbol
ASTL	ENSG00000188886	symbol
WNK4	ENSG00000126562	symbol
MFSD6L	ENSG00000185156	symbol
FPR2	ENSG00000171049	symbol
ARC	ENSG00000198576	symbol
NPPC	ENSG00000163273	symbol
GRM4	ENSG00000124493	symbol
SCRT1	ENSG00000261678	symbol
KCNB1	ENSG00000158445	symbol
LMAN1L	ENSG00000140506	symbol
KIAA0087	ENSG00000122548	symbol
CEACAM6	ENSG00000086548	symbol
